32,Αρίσταρχος,Σταύρου,1960-06-10,"Λεπίδα 363, 065 30 Αργοστόλι",2023-01-02,08:00:00,16:00:00,80000
33,Εύκλεια,Καρυπίδης,2005-05-16,"Δοβλά 92-66, ΤΚ 519 49 Βόλος",2023-01-02,16:00:00,00:00:00,90000
34,Παρασκευάς,Γαλανάκη,1989-04-29,"Σταυροσκιαδίου 1, 94939 Ρόδος",2023-01-05,16:00:00,00:00:00,50000
35,Αμφιθέα,Σακελλαρίου,1986-04-19,"Τσιπλίκωφ 92-47, 932 39 Σάμος",2023-01-08,08:00:00,16:00:00,20000
36,Κόσμια,Δουλάμης,1998-11-16,"Πλατεία Σοκαρά 55-53, 767 12 Ερμούπολη",2023-01-07,08:00:00,16:00:00,60000
37,Μακρίνα,Χιτός,2003-07-31,"Σταβιών 55, 26555 Γρεβενά",2023-01-04,08:00:00,16:00:00,20000
38,Αυγή,Βαγενά,1993-10-16,"Πάρ. Κρανιδίου 74, 52779 Θεσσαλονίκη",2023-01-04,08:00:00,16:00:00,30000
39,Πύρρος,Μανιάτη,1989-05-26,"Πρέκα 63-51, ΤΚ 864 28 Καβάλα",2023-01-02,16:00:00,00:00:00,90000
40,Διδώ,Κατσιμάνη,1979-09-08,"Τυρνάβου 45-49, 420 79 Σπάρτη",2023-01-05,16:00:00,00:00:00,40000
41,Αικατερίνη,Ταφραλή,1961-09-22,"Επισκοπής Νάουσας 2, 564 04 Θεσσαλονίκη",2023-01-01,16:00:00,00:00:00,20000
42,Ξένη,Περάκης,1984-12-12,"Λεωφόρος Αγρίλου 120, ΤΚ 47861 Άρτα",2023-01-05,16:00:00,00:00:00,80000
43,Ζήνων,Παπαθωμά,1997-09-15,"Λεωφόρος Ισθμίας 28, 158 01 Αργοστόλι",2023-01-03,16:00:00,00:00:00,70000
44,Πηνελόπη,Μπελέκου,1989-06-05,"Λεωφόρος Ελάτας 294, 152 50 Γρεβενά",2023-01-05,08:00:00,16:00:00,20000
45,Ευσεβία,Κονιάρη,2006-06-25,"Θεριανού 082-934, 93223 Βόλος",2023-01-08,16:00:00,00:00:00,40000
46,Εριέτα,Βλαχοδήμου,1968-04-08,"Μπιζανίου 97, 77345 Ζάκυνθος",2023-01-09,16:00:00,00:00:00,90000
47,Ράλλης,Μπακουλή,1976-07-11,"Θρακομακεδόνων 4, ΤΚ 28122 Καλαμάτα",2023-01-10,16:00:00,00:00:00,80000
48,Αγγελής,Ζυγούρης,1999-12-24,"Σκοπής 9, 827 69 Γρεβενά",2023-01-08,08:00:00,16:00:00,40000
49,Πασχαλιά,Παναγιώτου,1988-01-03,"Πλ. Βούλπης 016, 86003 Κοζάνη",2023-01-03,08:00:00,16:00:00,50000
50,Γκίκας,Σκουλαρίδης,1965-11-09,"Λεωφ. Καμποχωρίου 903, 809 70 Πάτρα",2023-01-06,16:00:00,00:00:00,40000
